[Name]
Export Surface 1

[Parameters]
Ncompt = 1
Nnodes = 23585
Rotation Axis From = 0.00000000 [m], 0.00000000 [m], 0.00000000 [m]
Rotation Axis To   = 0.00000000 [m], 0.00000000 [m], 1.00000000 [m]
Rotating Speed     = 1679.99817 [s^-1 rad]
Frequency          = 534.760010 [Hz]
Engine Order       = 2

[Spatial Fields]
x, y, z

[Data]
x [ m ], y [ m ], z [ m ], Real Pressure [ kg m^-1 s^-2 ], Imaginary Pressure [ kg m^-1 s^-2 ]
 4.87764220E-04,  2.37177180E-01,  2.15519370E-02, -2.06177460E+02, -1.04045860E+02
 6.55201090E-04,  2.39074500E-01,  2.18417760E-02, -2.19011230E+02, -1.83208720E+02
 8.11578240E-04,  2.40973040E-01,  2.21296530E-02, -9.81689150E+01, -3.92168240E+02
 9.55962460E-04,  2.42872800E-01,  2.24158500E-02, -2.83713990E+01, -5.64396180E+02
 1.08809350E-03,  2.44763120E-01,  2.27000170E-02,  2.64703670E+01, -6.27951600E+02
 1.20642430E-03,  2.46650370E-01,  2.29812390E-02,  1.60937260E+02, -5.92493160E+02
 1.31004270E-03,  2.48539000E-01,  2.32588800E-02,  4.57422000E+02, -3.16316500E+02
 1.39848980E-03,  2.50428290E-01,  2.35374400E-02,  9.90173830E+02,  2.02021550E+02
 1.47101000E-03,  2.52317990E-01,  2.38177370E-02,  1.98233140E+03,  1.32276510E+03
 1.50062940E-03,  2.53248300E-01,  2.39564120E-02,  2.46250340E+03,  1.77006770E+03
 1.51720000E-03,  2.53833230E-01,  2.40438190E-02,  2.74956620E+03,  2.03212540E+03
 1.52678070E-03,  2.54200940E-01,  2.40990260E-02,  2.64597560E+03,  2.02357820E+03
 1.53246850E-03,  2.54432110E-01,  2.41337380E-02,  2.41478300E+03,  1.92203140E+03
 1.53591170E-03,  2.54577460E-01,  2.41555630E-02,  2.25720290E+03,  1.88991240E+03
 1.53802340E-03,  2.54668800E-01,  2.41692810E-02,  2.28019650E+03,  1.94262010E+03
