[Name]
Export Surface 1

[Parameters]
Ncompt = 1
Nnodes = 9526
Rotation Axis From = 0.00000000 [m], 0.00000000 [m], 0.00000000 [m]
Rotation Axis To   = 0.00000000 [m], 0.00000000 [m], 1.00000000 [m]
Rotating Speed     = 1047.19755 [s^-1 rad]
Frequency          = 401.532061 [Hz]
Nodal Diameter     = 0

[Spatial Fields]
Initial X, Initial Y, Initial Z

[Data]
Initial X [ m ], Initial Y [ m ], Initial Z [ m ], Real Pressure [ kg m^-1 s^-2 ], Imaginary Pressure [ kg m^-1 s^-2 ]
-3.04776236E-003,  1.65828121E-001,  1.25140977E-002,  9.82334165E+001, -2.15819875E+001
-3.06415449E-003,  1.66078965E-001,  1.25333552E-002,  1.00308380E+002, -2.03999024E+001
-3.08488216E-003,  1.66400497E-001,  1.25577467E-002,  1.03714994E+002, -1.87250401E+001
-3.11098528E-003,  1.66812654E-001,  1.25885347E-002,  1.06388616E+002, -1.78889813E+001
-3.14367985E-003,  1.67341009E-001,  1.26272220E-002,  1.06096454E+002, -1.88699008E+001
-3.18433249E-003,  1.68018359E-001,  1.26755477E-002,  1.05012022E+002, -2.01393300E+001
-3.23438100E-003,  1.68886774E-001,  1.27354398E-002,  1.03221683E+002, -2.25920613E+001
-3.29515892E-003,  1.70000217E-001,  1.28088869E-002,  1.02497434E+002, -2.41886154E+001
-3.36755917E-003,  1.71427884E-001,  1.28976708E-002,  1.03964550E+002, -2.52696307E+001
-3.45144804E-003,  1.73258457E-001,  1.30028708E-002,  1.08156436E+002, -2.52213534E+001
-3.54473220E-003,  1.75605482E-001,  1.31240072E-002,  1.14745415E+002, -2.52095092E+001
-3.63696462E-003,  1.78611671E-001,  1.32627021E-002,  1.21975765E+002, -2.60906617E+001
-3.63476942E-003,  1.82463690E-001,  1.34955674E-002,  1.32102237E+002, -1.93033979E+001
-3.58064452E-003,  1.87404102E-001,  1.37443372E-002,  1.43263181E+002, -2.24026406E+001
-3.43815411E-003,  1.93756929E-001,  1.40384524E-002,  1.53973256E+002, -2.64856599E+001
-3.25953677E-003,  2.00106667E-001,  1.44095604E-002,  1.79078329E+002,  1.82909795E+001
-3.02931865E-003,  2.06458752E-001,  1.47310612E-002,  1.99110383E+002,  4.23191002E+001
-2.75522189E-003,  2.12810279E-001,  1.50311807E-002,  2.00588804E+002,  4.73653119E+001
-2.47036498E-003,  2.19161863E-001,  1.53153301E-002,  1.68794522E+002,  1.62665037E+002
-2.16699498E-003,  2.25512674E-001,  1.55096972E-002,  2.00970871E+002,  7.70149288E+001
-1.86686593E-003,  2.31861770E-001,  1.57079932E-002,  2.82590938E+002, -4.08450420E+001
-1.64851838E-003,  2.38212038E-001,  1.58706322E-002,  4.66366753E+002, -7.92219315E+001
-1.47556979E-003,  2.43669398E-001,  1.60200558E-002,  7.41685172E+002, -5.12004504E+001
-1.35974138E-003,  2.48327254E-001,  1.61330572E-002,  1.24329145E+003,  3.64464487E+002
