[Name]
mode1

[Parameters]
Frequency = 1152.13 [Hz]
Maximum Displacement = 0.00128982673254976 [m] 

[Spatial Fields]
Initial X, Initial Y, Initial Z

[Data]
Initial X [ m ], Initial Y [ m ], Initial Z [ m ], meshdisptot x [ m ], meshdisptot y [ m ], meshdisptot z [ m ]
0.229,-0.00799,0.0154,4.52E-05,0.000353,-0.000398
0.232,-0.00787,0.0156,4.79E-05,0.000399,-0.000454
0.236,-0.00778,0.0157,4.96E-05,0.000448,-0.000513
0.239,-0.00772,0.0158,5.03E-05,0.000499,-0.000573
0.242,-0.00772,0.0158,5.13E-05,0.00055,-0.000635
0.246,-0.0078,0.016,5.45E-05,0.0006,-0.000698
0.249,-0.00793,0.0161,5.94E-05,0.000651,-0.00076
0.182,-0.00457,0.017,0,0,0
0.185,-0.00454,0.0171,3.09E-06,2.28E-06,-2.92E-06
0.189,-0.00454,0.0172,5.96E-06,8.10E-06,-9.17E-06
0.192,-0.00457,0.0173,8.88E-06,1.74E-05,-1.90E-05
0.195,-0.00459,0.0174,1.17E-05,3.02E-05,-3.24E-05
0.199,-0.00457,0.0174,1.43E-05,4.63E-05,-4.94E-05
0.202,-0.00455,0.0175,1.67E-05,6.59E-05,-7.01E-05
0.205,-0.00456,0.0175,1.91E-05,8.88E-05,-9.46E-05
0.209,-0.00462,0.0175,2.18E-05,0.000115,-0.000123
0.212,-0.00466,0.0175,2.44E-05,0.000145,-0.000156
0.215,-0.00464,0.0175,2.66E-05,0.000177,-0.000192
0.219,-0.00463,0.0175,2.85E-05,0.000213,-0.000232
0.222,-0.00469,0.0175,3.07E-05,0.000252,-0.000276
0.225,-0.00471,0.0175,3.29E-05,0.000293,-0.000323
0.229,-0.00459,0.0177,3.49E-05,0.000335,-0.000373
0.232,-0.00444,0.0179,3.61E-05,0.00038,-0.000425
0.235,-0.00431,0.0179,3.64E-05,0.000427,-0.00048
0.239,-0.00422,0.018,3.61E-05,0.000475,-0.000537
0.242,-0.00419,0.018,3.60E-05,0.000524,-0.000595
0.245,-0.00423,0.018,3.74E-05,0.000573,-0.000654
0.249,-0.00431,0.0181,3.98E-05,0.000622,-0.000713
0.183,-0.00172,0.0199,0,0,0
0.186,-0.00166,0.02,2.96E-06,2.26E-06,-3.04E-06
0.189,-0.00161,0.0201,5.45E-06,7.83E-06,-9.13E-06
0.193,-0.00158,0.0201,7.78E-06,1.67E-05,-1.85E-05
0.196,-0.00155,0.0202,9.98E-06,2.86E-05,-3.10E-05
0.199,-0.0015,0.0202,1.20E-05,4.37E-05,-4.69E-05
0.203,-0.00144,0.0202,1.38E-05,6.20E-05,-6.61E-05
0.206,-0.00141,0.0202,1.55E-05,8.35E-05,-8.89E-05
0.209,-0.0014,0.0201,1.71E-05,0.000108,-0.000115
0.212,-0.0014,0.0201,1.88E-05,0.000136,-0.000145
0.216,-0.00135,0.0201,2.02E-05,0.000167,-0.000179
0.219,-0.00131,0.02,2.15E-05,0.0002,-0.000216
0.222,-0.00135,0.02,2.27E-05,0.000237,-0.000257
0.225,-0.00132,0.02,2.37E-05,0.000276,-0.000301
0.229,-0.00116,0.02,2.42E-05,0.000317,-0.000347
0.232,-0.000963,0.0201,2.40E-05,0.00036,-0.000396
0.235,-0.000803,0.0202,2.31E-05,0.000404,-0.000446
0.238,-0.000699,0.0201,2.18E-05,0.00045,-0.000499
0.242,-0.00065,0.0201,2.07E-05,0.000498,-0.000554
0.245,-0.000639,0.0201,2.02E-05,0.000545,-0.000609
0.248,-0.000649,0.02,2.00E-05,0.000593,-0.000665
0.184,0.00105,0.023,0,0,0
0.187,0.00115,0.0231,2.61E-06,1.97E-06,-2.82E-06
0.19,0.00124,0.0231,4.68E-06,6.95E-06,-8.41E-06
0.193,0.00133,0.0231,6.51E-06,1.49E-05,-1.69E-05
0.196,0.00142,0.0231,8.16E-06,2.56E-05,-2.83E-05
0.2,0.00153,0.023,9.58E-06,3.94E-05,-4.27E-05
0.203,0.00163,0.023,1.08E-05,5.61E-05,-6.03E-05
0.206,0.0017,0.0229,1.18E-05,7.61E-05,-8.11E-05
0.209,0.00176,0.0228,1.27E-05,9.92E-05,-0.000105
0.212,0.00182,0.0227,1.33E-05,0.000125,-0.000133
0.216,0.00193,0.0226,1.37E-05,0.000154,-0.000163
0.219,0.002,0.0225,1.39E-05,0.000186,-0.000198
0.222,0.002,0.0224,1.42E-05,0.000221,-0.000236
0.225,0.00207,0.0223,1.39E-05,0.000258,-0.000277
0.228,0.00228,0.0224,1.29E-05,0.000297,-0.000319
0.232,0.00252,0.0224,1.12E-05,0.000338,-0.000364
0.235,0.00271,0.0223,9.05E-06,0.000381,-0.000412
0.238,0.00285,0.0223,6.55E-06,0.000426,-0.000461
0.241,0.00293,0.0222,4.15E-06,0.000472,-0.000513
0.244,0.00297,0.0221,2.38E-06,0.000517,-0.000565
0.248,0.00298,0.022,1.06E-06,0.000563,-0.000618
0.184,0.00368,0.0262,0,0,0
0.187,0.00384,0.0262,2.08E-06,1.47E-06,-2.36E-06
0.191,0.004,0.0262,3.72E-06,5.48E-06,-7.13E-06
0.194,0.00416,0.0261,5.10E-06,1.21E-05,-1.45E-05
0.197,0.00432,0.026,6.34E-06,2.13E-05,-2.45E-05
0.2,0.00447,0.026,7.49E-06,3.34E-05,-3.73E-05
0.203,0.00461,0.0259,8.36E-06,4.85E-05,-5.30E-05
0.206,0.00474,0.0257,8.81E-06,6.67E-05,-7.17E-05
0.209,0.00486,0.0255,8.87E-06,8.81E-05,-9.35E-05
0.213,0.00498,0.0254,8.63E-06,0.000112,-0.000118
0.216,0.00513,0.0253,8.22E-06,0.00014,-0.000147
0.219,0.00524,0.0251,7.66E-06,0.00017,-0.000178
0.222,0.00528,0.0249,6.80E-06,0.000203,-0.000213
0.225,0.0054,0.0248,5.17E-06,0.000239,-0.000251
0.228,0.00568,0.0247,2.50E-06,0.000276,-0.00029
0.231,0.00598,0.0246,-9.96E-07,0.000316,-0.000332
0.234,0.00622,0.0245,-4.69E-06,0.000357,-0.000376
0.238,0.00636,0.0244,-7.48E-06,0.0004,-0.000423
0.241,0.00643,0.0243,-1.00E-05,0.000444,-0.000472
0.244,0.00652,0.0241,-1.39E-05,0.000489,-0.000521
0.247,0.00664,0.0239,-1.89E-05,0.000535,-0.000571
0.185,0.00616,0.0296,0,0,0
0.188,0.0064,0.0295,1.49E-06,7.81E-07,-1.78E-06
0.191,0.00664,0.0294,2.83E-06,3.42E-06,-5.55E-06
0.194,0.00689,0.0292,3.98E-06,8.31E-06,-1.15E-05
0.197,0.00712,0.0291,5.00E-06,1.57E-05,-1.99E-05
0.2,0.00734,0.0289,5.87E-06,2.58E-05,-3.08E-05
