Ref Des,Manufacturer,Part Number,Part Type,Part Description,Activation Energy (Ea),Applied Current (A),Applied Duty Cycle (%),Applied Freq (MHz),Applied Power (W),Applied Ripple (mA),Applied Voltage (V),Ball Chan Width,Ball Count,Ball Diameter,Ball Height,Ball Island Cols,Ball Island Rows,Ball Material,Ball Modeling,Ball Package Diameter,Ball Pad Diameter,Ball Pattern,Ball Perimeter Cols,Ball Perimeter Rows,Ball Pitch,Ball Units,Board Side,Capacitance (uF),Confidence Bounds (%),Corner Face,Corner Radius,Corner Shape,Cycle Rate (cycle/hr),Die Length,Die Material,Die Thickness,Die Units,Die Width,Documents,ESD Susceptibility (V),Electrical Derating (0-1),FITs (per 1E6 hours),Failure Class,Failure Mechanism,Flag Length,Flag Thickness,Flag Units,Flag Width,Frequency Exponent,Initial Burn-in (hrs),Input Data Type,Junction Res (C/W),Laminate Thickness,Lead Bend (degrees),Lead Count,Lead Foot Length,Lead Geometry,Lead Height,Lead Hole Diameter,Lead Layout,Lead Long Count,Lead Material,Lead Pitch,Lead Short Count,Lead Shoulder,Lead Standoff,Lead Stiffness,Lead Thickness,Lead Units,Lead Width,Lifetime,Load Type,Location Units,Material,Max Rated Current (A),Max Rated Power (W),Max Rated Temp (C),Max Rated Voltage (V),Max Storage Temp (C),Min Rated Temp (C),Min Storage Temp (C),Mirrored,Model Leads,Model Part,Number of Bits,Number of Contacts,Number of Devices,Number of Elements,Number of Failures,Number of Gates,Number of Throws,Number of Trans,Overmold Material,Overmold Thickness,Package Length,Package Mount,Package Name,Package Thickness,Package Units,Package Width,Pad Length,Pad Pitch,Pad Units,Pad Width,Part Technology,Part Temp Rise,Process Node,Production Year,Production Years,Quality Class,Quality Factor,Rated Ripple (mA),Reliability Data Source,Reliability Metric,Reliability Metric Units,Resistance (ohm),Ripple Temp Rise,Rotation,Seal Type,Sink Length,Sink Thickness,Sink Width,Solder Material,Solder Model,Solder Thickness,Source of AF,Stencil Thickness,Stencil Units,Subcircuit Name(s),Technology,Test Duration (hrs),Test Duty Cycle (%),Test Frequency (MHz),Test Method,Test Temperature (C),Test Voltage (V),Thermal Units,Voltage Exponent,Weight (gram),X Coordinate,X Offset,Y Coordinate,Y Offset
C11,AVX,1210GC102KAT1A,CAPACITOR CERAMIC,"CAP,CER,1NF,10%,2KV,X7R,1210 ROHS",,,,,,,50,,,,,,,63SN37PB,NONE,,,CHANNEL,,,,MM,TOP,1,,TOP_BOTTOM,0,SQUARE,,1.6,SILICON,0.185,MM,1.25,,500,0.1,20,"CAP, FIXED, CERAMIC, CHIP",,,,MM,,,0,,1.500E+1,0.415,0.0,2,0,LEADLESS,0,1.6080127840328722,,,ALLOY42,0,,0,0,,0,MM,0,1000,,in,BARIUMTITANATE,4.440630585851519,0.1,125,100,125,0.0,-55,N,DISABLED,ENABLED,,0,10,1,0,,0,,,0.435,3.2,SMT,1210,0.6,MM,2.5,0.64,1.27,MM,2.50,OTHER,DEFAULT,,2012,2,QUALIFIED,,,,,,15.92356687898089,,0,NONHERMETIC,,,,TIN-LEAD (63SN37PB),CC MODEL,0.0635,,0.127,mm,,TTL,1,,,BLACK BOX,,50,C,,0.5,-0.98,0,-1.962,0
C12,PANASONIC,ECJ-4YB2A684,CAPACITOR CERAMIC,"CAP, 0.68UF, 100C, 20%, SMT, 1210",,,,,,,50,,,,,,,63SN37PB,NONE,,,,,,,MM,TOP,1,,TOP_BOTTOM,0.0,SQUARE,0,1.6,SILICON,0.185,MM,1.25,,500,0.1,,"CAP, FIXED, CERAMIC, CHIP",,,,MM,,,0,,15.0,0.415,0.0,2,,LEADLESS,,1.6080128,,,COPPER,,,,0.0,,,MM,,,,in,BARIUMTITANATE,,0.1,85,10,85,-25,-25,N,DISABLED,ENABLED,,,10,1,0,,,,,0.435,3.2,SMT,1210,2.5,MM,2.5,1.0,1.27,MM,2.5,OTHER,DEFAULT,350NM PLANAR,2014,2,QUALIFIED,,,,,,,,0,NONHERMETIC,,,,TIN-LEAD (63SN37PB),CC MODEL,0.0635,,0.127,mm,,TTL,1,,,BLACK BOX,,50,C,,0.0175,0.481,0,-1.961,0
C13,PANASONIC,ECJ-4YB2A684,CAPACITOR CERAMIC,"CAP, 0.68UF, 100C, 20%, SMT, 1210",,,,,,,50,,,,,,,63SN37PB,NONE,,,,,,,MM,TOP,1,,TOP_BOTTOM,0.0,SQUARE,0,1.6,SILICON,0.185,MM,1.25,,500,0.1,,"CAP, FIXED, CERAMIC, CHIP",,,,MM,,,0,,15.0,0.415,0.0,2,,LEADLESS,,1.6080128,,,COPPER,,,,0.0,,,MM,,,,in,BARIUMTITANATE,,0.1,85,10,85,-25,-25,N,DISABLED,ENABLED,,,10,1,0,,,,,0.435,3.2,SMT,1210,2.5,MM,2.5,1.0,1.27,MM,2.5,OTHER,DEFAULT,350NM PLANAR,2014,2,QUALIFIED,,,,,,,,0,NONHERMETIC,,,,TIN-LEAD (63SN37PB),CC MODEL,0.0635,,0.127,mm,,TTL,1,,,BLACK BOX,,50,C,,0.0175,0.91,0,-1.963,0
C14,PANASONIC,ECJ-4YB2A684,CAPACITOR CERAMIC,"CAP, 0.68UF, 100C, 20%, SMT, 1210",,,,,,,50,,,,,,,63SN37PB,NONE,,,,,,,MM,TOP,1,,TOP_BOTTOM,0.0,SQUARE,0,1.6,SILICON,0.185,MM,1.25,,500,0.1,,"CAP, FIXED, CERAMIC, CHIP",,,,MM,,,0,,15.0,0.415,0.0,2,,LEADLESS,,1.6080128,,,COPPER,,,,0.0,,,MM,,,,in,BARIUMTITANATE,,0.1,85,10,85,-25,-25,N,DISABLED,ENABLED,,,10,1,0,,,,,0.435,3.2,SMT,1210,2.5,MM,2.5,1.0,1.27,MM,2.5,OTHER,DEFAULT,350NM PLANAR,2014,2,QUALIFIED,,,,,,,,0,NONHERMETIC,,,,TIN-LEAD (63SN37PB),CC MODEL,0.0635,,0.127,mm,,TTL,1,,,BLACK BOX,,50,C,,0.0175,-0.513,0,-1.96,0
C15,PANASONIC,ECJ-4YB2A684,CAPACITOR CERAMIC,"CAP, 0.68UF, 100C, 20%, SMT, 1210",,,,,,,50,,,,,,,63SN37PB,NONE,,,,,,,MM,TOP,1,,TOP_BOTTOM,0.0,SQUARE,0,1.6,SILICON,0.185,MM,1.25,,500,0.1,,"CAP, FIXED, CERAMIC, CHIP",,,,MM,,,0,,15.0,0.415,0.0,2,,LEADLESS,,1.6080128,,,COPPER,,,,0.0,,,MM,,,,in,BARIUMTITANATE,,0.1,85,10,85,-25,-25,N,DISABLED,ENABLED,,,10,1,0,,,,,0.435,3.2,SMT,1210,2.5,MM,2.5,1.0,1.27,MM,2.5,OTHER,DEFAULT,350NM PLANAR,2014,2,QUALIFIED,,,,,,,,0,NONHERMETIC,,,,TIN-LEAD (63SN37PB),CC MODEL,0.0635,,0.127,mm,,TTL,1,,,BLACK BOX,,50,C,,0.0175,-0.023,0,-1.962,0
C16,PANASONIC,ECJ-4YB2A684,CAPACITOR CERAMIC,"CAP, 0.68UF, 100C, 20%, SMT, 1210",,,,,,,50,,,,,,,63SN37PB,NONE,,,,,,,MM,TOP,1,,TOP_BOTTOM,0.0,SQUARE,0,1.6,SILICON,0.185,MM,1.25,,500,0.1,,"CAP, FIXED, CERAMIC, CHIP",,,,MM,,,0,,15.0,0.415,0.0,2,,LEADLESS,,1.6080128,,,COPPER,,,,0.0,,,MM,,,,in,BARIUMTITANATE,,0.1,85,10,85,-25,-25,N,DISABLED,ENABLED,,,10,1,0,,,,,0.435,3.2,SMT,1210,2.5,MM,2.5,1.0,1.27,MM,2.5,OTHER,DEFAULT,350NM PLANAR,2014,2,QUALIFIED,,,,,,,,0,NONHERMETIC,,,,TIN-LEAD (63SN37PB),CC MODEL,0.0635,,0.127,mm,,TTL,1,,,BLACK BOX,,50,C,,0.0175,-1.044,0,1.959,0
C17,PANASONIC,ECJ-4YB2A684,CAPACITOR CERAMIC,"CAP, 0.68UF, 100C, 20%, SMT, 1210",,,,,,,50,,,,,,,63SN37PB,NONE,,,,,,,MM,TOP,1,,TOP_BOTTOM,0.0,SQUARE,0,1.6,SILICON,0.185,MM,1.25,,500,0.1,,"CAP, FIXED, CERAMIC, CHIP",,,,MM,,,0,,15.0,0.415,0.0,2,,LEADLESS,,1.6080128,,,COPPER,,,,0.0,,,MM,,,,in,BARIUMTITANATE,,0.1,85,10,85,-25,-25,N,DISABLED,ENABLED,,,10,1,0,,,,,0.435,3.2,SMT,1210,2.5,MM,2.5,1.0,1.27,MM,2.5,OTHER,DEFAULT,350NM PLANAR,2014,2,QUALIFIED,,,,,,,,0,NONHERMETIC,,,,TIN-LEAD (63SN37PB),CC MODEL,0.0635,,0.127,mm,,TTL,1,,,BLACK BOX,,50,C,,0.0175,-0.0010,0,1.959,0
C18,PANASONIC,ECJ-4YB2A684,CAPACITOR CERAMIC,"CAP, 0.68UF, 100C, 20%, SMT, 1210",,,,,,,50,,,,,,,63SN37PB,NONE,,,,,,,MM,TOP,1,,TOP_BOTTOM,0.0,SQUARE,0,1.6,SILICON,0.185,MM,1.25,,500,0.1,,"CAP, FIXED, CERAMIC, CHIP",,,,MM,,,0,,15.0,0.415,0.0,2,,LEADLESS,,1.6080128,,,COPPER,,,,0.0,,,MM,,,,in,BARIUMTITANATE,,0.1,85,10,85,-25,-25,N,DISABLED,ENABLED,,,10,1,0,,,,,0.435,3.2,SMT,1210,2.5,MM,2.5,1.0,1.27,MM,2.5,OTHER,DEFAULT,350NM PLANAR,2014,2,QUALIFIED,,,,,,,,0,NONHERMETIC,,,,TIN-LEAD (63SN37PB),CC MODEL,0.0635,,0.127,mm,,TTL,1,,,BLACK BOX,,50,C,,0.0175,0.994,0,1.955,0
C19,PANASONIC,ECJ-4YB2A684,CAPACITOR CERAMIC,"CAP, 0.68UF, 100C, 20%, SMT, 1210",,,,,,,50,,,,,,,63SN37PB,NONE,,,,,,,MM,TOP,1,,TOP_BOTTOM,0.0,SQUARE,0,1.6,SILICON,0.185,MM,1.25,,500,0.1,,"CAP, FIXED, CERAMIC, CHIP",,,,MM,,,0,,15.0,0.415,0.0,2,,LEADLESS,,1.6080128,,,COPPER,,,,0.0,,,MM,,,,in,BARIUMTITANATE,,0.1,85,10,85,-25,-25,N,DISABLED,ENABLED,,,10,1,0,,,,,0.435,3.2,SMT,1210,2.5,MM,2.5,1.0,1.27,MM,2.5,OTHER,DEFAULT,350NM PLANAR,2014,2,QUALIFIED,,,,,,,,0,NONHERMETIC,,,,TIN-LEAD (63SN37PB),CC MODEL,0.0635,,0.127,mm,,TTL,1,,,BLACK BOX,,50,C,,0.0175,-0.478,0,1.963,0
C20,PANASONIC,ECJ-4YB2A684,CAPACITOR CERAMIC,"CAP, 0.68UF, 100C, 20%, SMT, 1210",,,,,,,50,,,,,,,63SN37PB,NONE,,,,,,,MM,TOP,1,,TOP_BOTTOM,0.0,SQUARE,0,1.6,SILICON,0.185,MM,1.25,,500,0.1,,"CAP, FIXED, CERAMIC, CHIP",,,,MM,,,0,,15.0,0.415,0.0,2,,LEADLESS,,1.6080128,,,COPPER,,,,0.0,,,MM,,,,in,BARIUMTITANATE,,0.1,85,10,85,-25,-25,N,DISABLED,ENABLED,,,10,1,0,,,,,0.435,3.2,SMT,1210,2.5,MM,2.5,1.0,1.27,MM,2.5,OTHER,DEFAULT,350NM PLANAR,2014,2,QUALIFIED,,,,,,,,0,NONHERMETIC,,,,TIN-LEAD (63SN37PB),CC MODEL,0.0635,,0.127,mm,,TTL,1,,,BLACK BOX,,50,C,,0.0175,0.507,0,1.959,0
