"Time","Torque_in","Clutch1_in","Clutch2_in","Clutch3_in"
0.862000000000001,9.29776485888244,0.46918839155008,1,0
0.863000000000001,9.17754625683973,0.468078287585254,1,0
0.864000000000001,9.04827052466011,0.466967444460922,1,0
0.865000000000001,8.91006524188359,0.465855863931254,1,0
0.866000000000001,8.76306680043854,0.464743547751589,1,0
0.867000000000001,8.60742027003934,0.463630497678428,1,0
0.868000000000001,8.44327925502005,0.462516715469426,1,0
0.869000000000001,8.27080574274551,0.461402202883398,1,0
0.870000000000001,8.09016994374936,0.460286961680313,1,0
0.871000000000001,7.90155012375679,0.459170993621289,1,0
0.872000000000001,7.70513242775777,0.458054300468589,1,0
0.873000000000001,7.50111069630447,0.456936883985626,1,0
0.874000000000001,7.28968627421398,0.455818745936954,1,0
0.875000000000001,7.07106781186534,0.454699888088264,1,0
0.876000000000001,6.84547105928674,0.453580312206386,1,0
0.877000000000001,6.61311865323637,0.452460020059282,1,0
0.878000000000001,6.37423989748674,0.451339013416048,1,0
0.879000000000001,6.12907053652961,0.450217294046906,1,0
0.880000000000001,5.87785252292457,0.449094863723203,1,0
0.881000000000001,5.62083377852114,0.447971724217411,1,0
0.882000000000001,5.3582679497898,0.446847877303119,1,0
0.883000000000001,5.09041415750354,0.445723324755037,1,0
0.884000000000001,4.81753674101698,0.444598068348984,1,0
0.885000000000001,4.53990499739529,0.443472109861896,1,0
0.886000000000001,4.25779291565055,0.442345451071814,1,0
0.887000000000001,3.97147890634762,0.441218093757886,1,0
0.888000000000001,3.6812455268466,0.440090039700364,1,0
0.889000000000001,3.38737920245273,0.438961290680598,1,0
0.890000000000001,3.09016994374929,0.437831848481038,1,0
0.891000000000001,2.7899110603921,0.436701714885226,1,0
0.892000000000001,2.48689887164835,0.435570891677798,1,0
0.893000000000001,2.18143241396523,0.434439380644479,1,0
0.894000000000001,1.87381314585705,0.433307183572078,1,0
0.895000000000001,1.56434465040211,0.432174302248489,1,0
0.896000000000001,1.25333233564284,0.431040738462688,1,0
0.897000000000001,0.941083133184945,0.429906494004724,1,0
0.898000000000001,0.627905195292936,0.428771570665726,1,0
0.899000000000001,0.314107590781083,0.427635970237891,1,0
0.900000000000001,-1.98615497633381E-13,0.42649969451449,1,1
0.901000000000001,-0.314107590781484,0.425362745289854,1,1
0.902000000000001,-0.627905195293337,0.424225124359384,1,1
0.903000000000001,-0.941083133185344,0.423086833519537,1,1
0.904000000000001,-1.25333233564325,0.42194787456783,1,1
0.905000000000001,-1.56434465040251,0.420808249302835,1,1
0.906000000000001,-1.87381314585744,0.419667959524174,1,1
0.907000000000001,-2.18143241396562,0.418527007032524,1,1
0.908000000000001,-2.48689887164874,0.417385393629602,1,1
0.909000000000001,-2.78991106039249,0.41624312111817,1,1
0.910000000000001,-3.09016994374967,0.415100191302036,1,1
0.911000000000001,-3.38737920245311,0.41395660598604,1,1
0.912000000000001,-3.68124552684697,0.412812366976059,1,1
0.913000000000001,-3.971478906348,0.411667476079004,1,1
0.914000000000001,-4.25779291565091,0.410521935102812,1,1
0.915000000000001,-4.53990499739565,0.409375745856451,1,1
0.916000000000001,-4.81753674101734,0.408228910149908,1,1
0.917000000000001,-5.09041415750389,0.407081429794194,1,1
0.918000000000001,-5.35826794979014,0.405933306601338,1,1
0.919000000000001,-5.62083377852147,0.404784542384382,1,1
0.920000000000001,-5.8778525229249,0.403635138957382,1,1
0.921000000000001,-6.12907053652993,0.402485098135403,1,1
0.922000000000001,-6.37423989748706,0.401334421734516,1,1
0.923000000000001,-6.61311865323668,0.400183111571797,1,1
0.924000000000001,-6.84547105928704,0.399031169465321,1,1
0.925000000000001,-7.07106781186563,0.397878597234161,1,1
0.926000000000001,-7.28968627421426,0.396725396698388,1,1
0.927000000000001,-7.50111069630473,0.395571569679063,1,1
0.928000000000001,-7.70513242775802,0.394417117998234,1,1
0.929000000000001,-7.90155012375703,0.39326204347894,1,1
0.930000000000001,-8.0901699437496,0.3921063479452,1,1
0.931000000000001,-8.27080574274574,0.390950033222015,1,1
0.932000000000001,-8.44327925502026,0.389793101135365,1,1
0.933000000000001,-8.60742027003954,0.388635553512203,1,1
0.934000000000001,-8.76306680043874,0.387477392180454,1,1
0.935000000000001,-8.91006524188377,0.386318618969014,1,1
0.936000000000001,-9.04827052466029,0.385159235707744,1,1
0.937000000000001,-9.1775462568399,0.383999244227468,1,1
0.938000000000001,-9.29776485888259,0.38283864635997,1,1
0.939000000000001,-9.40880768954233,0.381677443937993,1,1
0.940000000000001,-9.5105651629516,0.380515638795236,1,1
0.941000000000001,-9.60293685676949,0.379353232766345,1,1
0.942000000000001,-9.68583161128636,0.37819022768692,1,1
0.943000000000001,-9.75916761938752,0.377026625393503,1,1
0.944000000000001,-9.82287250728693,0.375862427723583,1,1
0.945000000000001,-9.87688340595141,0.374697636515585,1,1
0.946000000000001,-9.92114701314481,0.373532253608874,1,1
0.947000000000001,-9.95561964603082,0.372366280843749,1,1
0.948000000000001,-9.98026728428273,0.37119972006144,1,1
0.949000000000001,-9.99506560365732,0.370032573104104,1,1
0.950000000000001,-10,0.368864841814829,1,1
0.951000000000001,-9.99506560365731,0.367696528037619,1,1
0.952000000000001,-9.9802672842827,0.366527633617403,1,1
0.953000000000001,-9.95561964603078,0.365358160400023,1,1
0.954000000000001,-9.92114701314475,0.364188110232238,1,1
0.955000000000001,-9.87688340595134,0.363017484961716,1,1
0.956000000000001,-9.82287250728685,0.361846286437035,1,1
0.957000000000001,-9.75916761938743,0.360674516507677,1,1
0.958000000000001,-9.68583161128626,0.359502177024027,1,1
0.959000000000001,-9.60293685676937,0.358329269837369,1,1
0.960000000000001,-9.51056516295147,0.357155796799883,1,1
0.961000000000001,-9.40880768954218,0.355981759764643,1,1
0.962000000000001,-9.29776485888243,0.354807160585614,1,1
0.963000000000001,-9.17754625683972,0.353632001117649,1,1
0.964000000000001,-9.0482705246601,0.352456283216485,1,1
0.965000000000001,-8.91006524188358,0.35128000873874,1,1
0.966000000000001,-8.76306680043853,0.350103179541913,1,1
0.967000000000001,-8.60742027003933,0.348925797484378,1,1
0.968000000000001,-8.44327925502003,0.347747864425382,1,1
0.969000000000001,-8.2708057427455,0.346569382225041,1,1
0.970000000000001,-8.09016994374934,0.34539035274434,1,1
0.971000000000001,-7.90155012375677,0.344210777845128,1,1
0.972000000000001,-7.70513242775775,0.343030659390114,1,1
0.973000000000001,-7.50111069630445,0.341849999242866,1,1
0.974000000000001,-7.28968627421396,0.340668799267809,1,1
0.975000000000001,-7.07106781186532,0.339487061330217,1,1
0.976000000000001,-6.84547105928673,0.338304787296217,1,1
0.977000000000001,-6.61311865323635,0.33712197903278,1,1
0.978000000000001,-6.37423989748673,0.335938638407722,1,1
0.979000000000001,-6.12907053652959,0.3347547672897,1,1
0.980000000000001,-5.87785252292455,0.333570367548208,1,1
0.981000000000001,-5.62083377852112,0.332385441053573,1,1
0.982000000000001,-5.35826794978978,0.331199989676958,1,1
0.983000000000001,-5.09041415750352,0.330014015290353,1,1
0.984000000000001,-4.81753674101696,0.328827519766571,1,1
0.985000000000001,-4.53990499739527,0.327640504979251,1,1
0.986000000000001,-4.25779291565052,0.326452972802853,1,1
0.987000000000001,-3.97147890634759,0.32526492511265,1,1
0.988000000000001,-3.68124552684657,0.324076363784734,1,1
0.989000000000001,-3.38737920245271,0.322887290696003,1,1
0.990000000000001,-3.09016994374926,0.321697707724168,1,1
0.991000000000001,-2.78991106039207,0.320507616747742,1,1
0.992000000000001,-2.48689887164833,0.319317019646041,1,1
0.993000000000001,-2.18143241396521,0.318125918299181,1,1
0.994000000000001,-1.87381314585703,0.316934314588072,1,1
0.995000000000001,-1.56434465040208,0.315742210394419,1,1
0.996000000000001,-1.25333233564281,0.31454960760072,1,1
0.997000000000001,-0.941083133184919,0.313356508090255,1,1
0.998000000000001,-0.627905195292911,0.312162913747091,1,1
0.999000000000001,-0.314107590781053,0.310968826456078,1,1
